Species,trt,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
ALSEBL,N,nmass,27.79666667,32.045,2.925770554,6.559682411,1.689194417,3.279841206,3,4
ALSEBL,P,nmass,27.79666667,25.05,2.925770554,9.053953096,1.689194417,4.526976548,3,4
ALSEBL,NP,nmass,27.79666667,23.56,2.925770554,1.775274627,1.689194417,1.024955284,3,3
HEISCO,N,nmass,20.4525,21.525,0.801846827,0.973601561,0.400923413,0.486800781,4,4
HEISCO,P,nmass,20.4525,19.2,0.801846827,0.168226038,0.400923413,0.097125349,4,3
HEISCO,NP,nmass,20.4525,22.805,0.801846827,3.297478835,0.400923413,1.648739417,4,4
TET2PA,N,nmass,14.1275,13.845,2.577535968,2.633204638,1.288767984,1.316602319,4,4
TET2PA,P,nmass,14.1275,17.035,2.577535968,3.028888685,1.288767984,1.514444343,4,4
TET2PA,NP,nmass,14.1275,14.8575,2.577535968,2.129105837,1.288767984,1.064552919,4,4
OENOMA,N,nmass,17.3675,17.7025,0.8951862,0.871526439,0.4475931,0.435763219,4,4
OENOMA,P,nmass,17.3675,17.4725,0.8951862,0.145688023,0.4475931,0.072844011,4,4
OENOMA,NP,nmass,17.3675,17.4425,0.8951862,0.916892396,0.4475931,0.458446198,4,4
ALSEBL,N,pmass,0.906666667,0.9925,0.02081666,0.213443982,0.012018504,0.106721991,3,4
ALSEBL,P,pmass,0.906666667,1.5875,0.02081666,0.51680912,0.012018504,0.25840456,3,4
ALSEBL,NP,pmass,0.906666667,1.076666667,0.02081666,0.130511813,0.012018504,0.07535103,3,3
HEISCO,N,pmass,0.675,0.7125,0.08660254,0.022173558,0.04330127,0.011086779,4,4
HEISCO,P,pmass,0.675,1.24,0.08660254,0.268700577,0.04330127,0.19,4,2
HEISCO,NP,pmass,0.675,1.5775,0.08660254,0.303905139,0.04330127,0.151952569,4,4
TET2PA,N,pmass,0.6375,0.5925,0.174618632,0.098107084,0.087309316,0.049053542,4,4
TET2PA,P,pmass,0.6375,1.2,0.174618632,0.262424592,0.087309316,0.131212296,4,4
TET2PA,NP,pmass,0.6375,0.8275,0.174618632,0.131497782,0.087309316,0.065748891,4,4
OENOMA,N,pmass,0.9225,0.915,0.012583057,0.01,0.006291529,0.005,4,4
OENOMA,P,pmass,0.9225,0.98,0.012583057,0.074386379,0.006291529,0.037193189,4,4
OENOMA,NP,pmass,0.9225,1.0575,0.012583057,0.045,0.006291529,0.0225,4,4
ALSEBL,N,leafPi,0.15,0.1875,0.01,0.114418821,0.005773503,0.057209411,3,4
ALSEBL,P,leafPi,0.15,0.4625,0.01,0.275242317,0.005773503,0.137621159,3,4
ALSEBL,NP,leafPi,0.15,0.173333333,0.01,0.061101009,0.005773503,0.035276684,3,3
HEISCO,N,leafPi,0.1475,0.165,0.056199051,0.056862407,0.028099526,0.028431204,4,4
HEISCO,P,leafPi,0.1475,0.46,0.056199051,0.324499615,0.028099526,0.18734994,4,3
HEISCO,NP,leafPi,0.1475,0.4025,0.056199051,0.277173231,0.028099526,0.138586616,4,4
TET2PA,N,leafPi,0.0875,0.055,0.043493295,0.019148542,0.021746647,0.009574271,4,4
TET2PA,P,leafPi,0.0875,0.305,0.043493295,0.14571662,0.021746647,0.07285831,4,4
TET2PA,NP,leafPi,0.0875,0.23,0.043493295,0.15340578,0.021746647,0.07670289,4,4
OENOMA,N,leafPi,0.17,0.1875,0,0.028722813,0,0.014361407,4,4
OENOMA,P,leafPi,0.17,0.2,0,0.037416574,0,0.018708287,4,4
OENOMA,NP,leafPi,0.17,0.26,0,0.036514837,0,0.018257419,4,4
ALSEBL,N,leafnp,30.71404427,32.35536294,3.84007105,2.23515038,2.217066054,1.11757519,3,4
ALSEBL,P,leafnp,30.71404427,16.48236563,3.84007105,5.792841423,2.217066054,2.896420711,3,4
ALSEBL,NP,leafnp,30.71404427,22.02747186,3.84007105,2.173640258,2.217066054,1.254951788,3,3
