rep,species,treatment,lma,spad,nmass,narea,pmass,parea,rgr,Amax,Vcmax,Jmax,PPUE,PNUE,Pi,EsterP,Nucleic-P,Lipid-P,Residual-P
1,Acacia auriculiformis,CK,141.49 ,40.10 ,30.36 ,4.30 ,0.54 ,0.08 ,1.39 ,4.27 ,14.61 ,29.29 ,55.81 ,0.99 ,0.09 ,0.06 ,0.16 ,0.17 ,0.06 
2,Acacia auriculiformis,CK,130.10 ,43.10 ,32.47 ,4.22 ,0.54 ,0.07 ,0.55 ,9.96 ,34.36 ,55.81 ,141.95 ,2.36 ,0.07 ,0.06 ,0.13 ,0.21 ,0.07 
3,Acacia auriculiformis,CK,165.15 ,38.20 ,22.22 ,3.67 ,0.52 ,0.09 ,1.41 ,9.99 ,33.86 ,48.73 ,116.64 ,2.72 ,0.08 ,0.06 ,0.13 ,0.18 ,0.07 
4,Acacia auriculiformis,CK,139.04 ,34.30 ,22.89 ,3.18 ,0.52 ,0.07 ,0.18 ,15.10 ,49.90 ,69.50 ,208.92 ,4.74 ,0.06 ,0.07 ,0.13 ,0.20 ,0.06 
5,Acacia auriculiformis,P,130.44 ,52.50 ,28.70 ,3.74 ,2.56 ,0.33 ,2.05 ,NA,NA,NA,NA,NA,1.62 ,0.08 ,0.40 ,0.38 ,0.08 
6,Acacia auriculiformis,P,142.06 ,46.50 ,29.88 ,4.24 ,2.50 ,0.35 ,1.41 ,23.97 ,101.89 ,137.89 ,67.53 ,5.65 ,1.60 ,0.25 ,0.21 ,0.36 ,0.08 
7,Acacia auriculiformis,P,117.38 ,60.30 ,23.13 ,2.72 ,2.10 ,0.25 ,1.14 ,17.95 ,72.98 ,107.74 ,72.84 ,6.61 ,0.97 ,0.36 ,0.37 ,0.32 ,0.08 
8,Acacia auriculiformis,P,136.61 ,52.00 ,22.41 ,3.06 ,1.96 ,0.27 ,0.80 ,25.65 ,91.11 ,123.88 ,95.65 ,8.38 ,1.05 ,0.21 ,0.40 ,0.23 ,0.08 
9,Acacia confusa,CK,148.06 ,42.90 ,28.10 ,4.16 ,0.51 ,0.08 ,-0.91 ,10.72 ,31.95 ,78.10 ,142.47 ,2.58 ,0.09 ,0.09 ,0.12 ,0.14 ,0.07 
10,Acacia confusa,CK,134.06 ,25.30 ,20.36 ,2.73 ,0.48 ,0.06 ,-0.73 ,3.39 ,17.87 ,29.41 ,52.23 ,1.24 ,0.08 ,0.09 ,0.12 ,0.13 ,0.06 
