Literature,Category,Variable,Unit,Trt_aCO2 ,Trt_eCO2 ,Trt_CO2_unit,Trt_aP,Trt_eP,Trt_P_unit,Sample Size,aCaP_mean,aCaP_pos,aCaP_neg,aCeP_mean,aCeP_pos,aCeP_neg,eCaP_mean,eCaP_pos,eCaP_neg,eCeP_mean,eCeP_pos,eCeP_neg,Confidence interval type,Species,Vegetation_type,Soil_weight_in_pot,Soil_weight_unit,Pot_volume ,Pot_volume_unit,Experiment_duration,Experimental_duration_unit,Mycorrhizae_Literature,Mycorrhizae,Soil_growth_condition,CO2_exposure_type
Conroy et al. 1987,Biomass,Total plant biomass ,g per pot,330,660,ppm,4.65,40.25,mg P kg-1 soil,15,6.2,6.78,6.05,8.646666667,9.186666667,6.467,7.05,7.55,6.49,11.69,12.11333333,11.00333333,SE,Pinus radiata,Woody,950,g,1,dm3,154,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1987,Morphology,Leaf area,10-2 m-2,330,660,ppm,4.65,40.25,mg P kg-1 soil,5,16.2,18.7,13.7,22.7,25.2,20.2,15.9,18.4,13.4,21.2,23.7,18.7,SE,Pinus radiata,Woody,950,g,1,dm3,154,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1987,Gas Exchange,Stomatal conductance ,kmol m-2 d-1,330,660,ppm,4.65,40.25,mg P kg-1 soil,15,0.753333333,0.816666667,0.693333333,0.54,0.606666667,0.473,0.696666667,0.77,0.635666667,0.513,0.58,0.442,SE,Pinus radiata,Woody,950,g,1,dm3,154,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Almeida et al. 1999,Biomass,Aboveground biomass,g plant-1,350,700,ppm,0.67,2,mM P,4,11.13,11.93,10.33,11.37,12.17,10.57,13.66,14.46,12.86,15.35,16.15,14.55,SE,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Almeida et al. 1999,Biomass,Aboveground biomass,g plant-1,350,700,ppm,0.075,2,mM P,4,8.13,8.93,7.33,11.37,12.17,10.57,8.8,9.6,8,15.35,16.15,14.55,SE,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Almeida et al. 1999,Biomass,Aboveground biomass,g plant-1,350,700,ppm,0.0027,2,mM P,4,3.34,4.14,2.54,11.37,12.17,10.57,3.46,4.26,2.66,15.35,16.15,14.55,SE,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Campbell and Sage 2002,Biomass,Aboveground biomass,g,410,750,ppm,0.00002139,0.00777139,g P,3,1,1.1,0.9,1.21,1.25,1.17,1.22,1.26,1.16,1.83,1.93,1.3,SE,Lupinus albus,Nonwoody,NA,NA,32,L,14,Days,Soudzilovshaia et al. 2019,NM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,51,1373,mg P kg-1 soil,10,2.01,2.9,1,18.64,24.64,13.64,3,4,2,43.8,49.8,38.8,SE,Pinus caribaea,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,461,1373,mg P kg-1 soil,10,17.86,23.86,12.86,18.64,24.64,13.64,34.4,40.4,29.4,43.8,49.8,38.8,SE,Pinus caribaea,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,461,1373,mg P kg-1 soil,10,19.83,25.83,14.83,20.95,26.95,15.95,37.33,43.33,32.33,42,48,37,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,97,1373,mg P kg-1 soil,10,5.56,11.56,0.56,18.64,24.64,13.64,10.1,16.1,5.1,43.8,49.8,38.8,SE,Pinus caribaea,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,279,1373,mg P kg-1 soil,10,18.66,24.66,13.66,18.64,24.64,13.64,33.6,39.6,28.6,43.8,49.8,38.8,SE,Pinus caribaea,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,187,1373,mg P kg-1 soil,10,16.01,22.01,11.01,20.95,26.95,15.95,28.72,34.72,23.72,42,48,37,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,5,1373,mg P kg-1 soil,10,2.63,4,1.5,18.64,24.64,13.64,4.6,5,3,43.8,49.8,38.8,SE,Pinus caribaea,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,5,1373,mg P kg-1 soil,10,2,3,1,20.65,26.65,15.65,1.17,3,1,36.67,42.67,31.67,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,279,1373,mg P kg-1 soil,10,20.65,26.65,15.65,20.95,26.95,15.95,33.25,39.25,28.25,42,48,37,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,461,1373,mg P kg-1 soil,10,19.95,25.95,14.95,20.65,26.65,15.65,30.16,36.16,25.16,36.67,42.67,31.67,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,187,1373,mg P kg-1 soil,10,15.23,21.23,10.23,20.65,26.65,15.65,21.14,27.14,16.14,36.67,42.67,31.67,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,51,1373,mg P kg-1 soil,10,5.48,11.48,0.48,20.95,26.95,15.95,7.54,13.54,2.54,42,48,37,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,97,1373,mg P kg-1 soil,10,12.04,18.04,7.04,20.95,26.95,15.95,16.21,22.21,11.21,42,48,37,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,187,1373,mg P kg-1 soil,10,16.64,22.64,11.64,18.64,24.64,13.64,22.1,28.1,17.1,43.8,49.8,38.8,SE,Pinus caribaea,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Gas Exchange,CO2 assimilation rate ,umol m-2 s-1,340,660,ppm,5,1373,mg P kg-1 soil,10,10.63,16.63,5.63,10.73,16.73,5.73,12.67,18.67,7.67,16.03,22.03,11.03,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Gas Exchange,CO2 assimilation rate ,umol m-2 s-1,340,660,ppm,51,1373,mg P kg-1 soil,10,11.44,17.44,6.44,10.73,16.73,5.73,16.55,22.55,11.55,16.03,22.03,11.03,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Gas Exchange,CO2 assimilation rate ,umol m-2 s-1,340,660,ppm,97,1373,mg P kg-1 soil,10,10.06,16.06,5.06,10.73,16.73,5.73,15.77,21.77,10.77,16.03,22.03,11.03,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Gas Exchange,CO2 assimilation rate ,umol m-2 s-1,340,660,ppm,187,1373,mg P kg-1 soil,10,10.59,16.59,5.59,10.73,16.73,5.73,15.83,21.83,10.83,16.03,22.03,11.03,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Gas Exchange,CO2 assimilation rate ,umol m-2 s-1,340,660,ppm,279,1373,mg P kg-1 soil,10,11.58,17.58,6.58,10.73,16.73,5.73,16.7,22.7,11.7,16.03,22.03,11.03,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Gas Exchange,CO2 assimilation rate ,umol m-2 s-1,340,660,ppm,461,1373,mg P kg-1 soil,10,11.87,17.87,6.87,10.73,16.73,5.73,17.23,23.23,12.23,16.03,22.03,11.03,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990b,Biomass,Stem biomass ,g plant-1,340,660,ppm,15,100,kg P ha-1,6,0.79,1.23,0.41,2.41,2.73,2,1,1.26,0.65,3.25,3.8,2.82,SE,Pinus radiata,Woody,4000,g,NA,NA,182,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,51,1373,mg P kg-1 soil,10,5.99,11.381,0.599,20.65,22.15,19.15,7.77,14.763,0.777,36.67,38.17,35.17,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990b,Biomass,Leaf biomass,g plant-1,340,660,ppm,15,100,kg P ha-1,6,3.3,3.53,2.98,6.48,6.6,5.86,3.91,4.45,3.67,9.57,9.53,9.01,SE,Pinus radiata,Woody,4000,g,NA,NA,182,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant biomass ,g,340,660,ppm,23,920,mg P kg-1 soil,4,0.26,NA,NA,1.46,NA,NA,1.33,NA,NA,5.8,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant biomass ,g,340,660,ppm,76,920,mg P kg-1 soil,4,0.85,NA,NA,1.46,NA,NA,2.12,NA,NA,5.8,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant biomass ,g,340,660,ppm,230,920,mg P kg-1 soil,4,1.29,NA,NA,1.46,NA,NA,3.77,NA,NA,5.8,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant P content ,mg plant-1,340,660,ppm,23,920,mg P kg-1 soil,4,1,1.2,0.8,6.8,7.6,6,3,3.8,2.2,13.4,15.6,11.2,SE,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant P content ,mg plant-1,340,660,ppm,76,920,mg P kg-1 soil,4,2.5,2.7,2.3,6.8,7.6,6,7.4,8.8,6,13.4,15.6,11.2,SE,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant P content ,mg plant-1,340,660,ppm,230,920,mg P kg-1 soil,4,5.6,6.2,5,6.8,7.6,6,9,10.8,7.2,13.4,15.6,11.2,SE,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,279,1373,mg P kg-1 soil,10,20.21,21.71,18.71,20.65,22.15,19.15,26,29.66,22,36.67,38.17,35.17,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,97,1373,mg P kg-1 soil,10,10.49,19.931,1.049,20.65,22.15,19.15,12.59,23.921,1.259,36.67,38.17,35.17,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Newbery et al. 1995,Concentration,Leaf P concentration,% dwt,358,608,ppm,2,30,mg L-1,6,0.093,0.11,0.076,0.3,0.31,0.29,0.075,0.085,0.065,0.26,0.28,0.24,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Concentration,Leaf P concentration,% dwt,358,608,ppm,10,30,mg L-1,6,0.17,0.18,0.16,0.3,0.31,0.29,0.18,0.2,0.16,0.26,0.28,0.24,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Conroy et al. 1990a,Biomass,Aboveground biomass,g DW,340,660,ppm,5,1373,mg P kg-1 soil,10,2.83,3.5375,2.1225,20.95,22.45,19.45,0.76,0.95,0.57,42,43.5,40.5,SE,Pinus radiata,Woody,950,g,1,dm3,343,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
